incident_id,customer_id,incident_created_by,order_external_id,order_item_id_list,final_issue_type,final_sub_issue_type,final_sub_sub_issue_type,ssi,status_name,incident_creation_time,incident_first_solved_time,incident_last_solved_time,assigned_to_queue_at,ipd_fpd,first_spd,first_status,last_spd,last_status,last_jeeves_bsd_flag,dep_team,incident_channel,current_queue_name,jn_flag,order_journey_node,ocr_classification,analytic_vertical_flag,vip_flag,large_grocery_nl_flag,inc_order_flag,contacts,Contact Flag,Current Date,Final Date,Days Delta,Days Flag,Final Flag,Problem Statement,Problem Group,Owner,Consider,Senti,Current_status,Last_Solved_By,Last_Solved_On,Status_Group,ExactStatus,Ageing_OR_Q2R
IN24020612374820575669,ACC14146884037699069,arqum.shaikh,OD330362068892561300,3.303620688925613e+17,Mobile Recharge & Bill Payments,Mobile Recharge & Bill Payment Queries,Mobile Recharge Escalation Issue,Mobile Recharge & Bill Payments->Mobile Recharge & Bill Payment Queries->Mobile Recharge Escalation Issue,Unresolved,2024-02-06 12:37:48,2024-02-06 12:40:19,2024-02-06 17:01:15,2024-02-06 12:37:49,,,,,,,cx,,ECR,,,1CR,Others,Non VIP,,Incident,,0,2024-05-26 10:00:00,2024-02-06 12:37:49,109,>5,5X5,Recharge Related Issues,Fintech / Payments,Tibin,Yes,,Closed,arqum.shaikh,2024-02-06 17:01:27,Solved,Solved,4.394166666666667
IN24050618353050613408,ACCE9919A1A8AB2420C806DC63898A6F903Q,techmch.2288938,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Waiting for Internal Updates,2024-05-06 18:35:30,2024-05-07 20:21:22,2024-05-07 20:21:22,2024-05-08 09:37:42,,,,,,,cx,Outbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,3.0,3,2024-05-26 10:00:00,2024-05-08 09:37:42,18,>5,5X5,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fapl.2257129,2024-05-28 09:36:06,Open,ReOpenByL2,482.26752814444444
IN24052415441781127099,ACCED191DAD823148349D44F3BA5447E42FD,techmk.2304527,OD331338064349004300,3.313380643490043e+17,Mobile Recharge & Bill Payments,Mobile Recharge & Bill Payment Queries,Mobile Recharge Escalation Issue,Mobile Recharge & Bill Payments->Mobile Recharge & Bill Payment Queries->Mobile Recharge Escalation Issue,Waiting for Internal Updates,2024-05-24 15:44:17,2024-05-24 15:44:34,2024-05-24 15:44:34,2024-05-24 15:44:19,,,,,,,cx,Inbound,Fintech_Queue,,,1CR,Others,Non VIP,,Incident,2.0,2,2024-05-26 10:00:00,2024-05-24 15:44:19,1,1,Others,Recharge Related Issues,Fintech / Payments,Tibin,Yes,,Solved,fk_crm_matrix,2024-05-27 20:30:24,Solved,Solved,76.76861111111111
IN24052314213640602459,ACC14236309249162638,tp.5177127,,,Flipkart Pay Later,Flipkart Pay Later BBPS ,Issues related to Utility Bills,Flipkart Pay Later->Flipkart Pay Later BBPS ->Issues related to Utility Bills,Waiting for Internal Updates,2024-05-23 14:21:36,2024-05-23 14:22:04,2024-05-23 14:22:04,2024-05-26 00:29:19,,,,,,,cx,Inbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,2.0,2,2024-05-26 10:00:00,2024-05-26 00:29:19,0,0,Others,Re-Con issues,Fintech / Payments,Tibin,Yes,,Solved,fapl.2253475,2024-05-26 17:57:37,Solved,Solved,17.471666666666668
IN24052411123874592837,ACCD9114C95C08D4694895B5C9118735231L,ieddn.t236406,,,Flipkart Pay Later,General Enquiry,Account closure request,Flipkart Pay Later->General Enquiry->Account closure request,Waiting for Internal Updates,2024-05-24 11:12:38,,,2024-05-24 11:24:35,,,,,,,cx,Outbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-24 11:24:35,1,1,1X2,Account Closure Issues,Fintech / Payments,Tibin,Yes,,Solved,fapl.984547,2024-05-27 14:04:15,Solved,Solved,74.86027777777778
IN24052411520133658490,ACC14234131757836419,techmch.2238550,,,Flipkart Pay Later,General Enquiry,Account closure request,Flipkart Pay Later->General Enquiry->Account closure request,Waiting for Customer Updates,2024-05-24 11:52:01,,,2024-05-24 11:52:16,,,,,,,cx,Inbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-24 11:52:16,1,1,1X2,Account Closure Issues,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fk_crm_matrix,2024-05-27 21:40:30,Open,ReOpen,96.02891703333334
IN24052512081565999962,ACC6AAA2EAEE74F4601B6D50DFE74CCC971L,cnx.416660800,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Waiting for Customer Updates,2024-05-25 12:08:15,,,2024-05-25 12:09:50,,,,,,,cx,,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-25 12:09:50,0,0,1X2,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fk_crm_matrix,2024-05-27 17:40:01,Open,ReOpen,71.75836147777777
IN24052514555377901138,ACCB03D670DE6D64249B0CCF95AB2C1DCE58,tph.655694,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Waiting for Internal Updates,2024-05-25 14:55:53,,,2024-05-25 14:56:11,,,,,,,cx,,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-25 14:56:11,0,0,1X2,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fk_crm_matrix,2024-05-25 19:01:37,Open,ReOpen,68.96447258888888
IN24051718291286772676,ACC648F0A50C7B342CB8D9FFD57ED51F85AR,tpm.669164,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Unresolved,2024-05-17 18:29:12,2024-05-17 18:29:32,2024-05-20 14:27:19,2024-05-25 20:03:09,,,,,,,cx,Inbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,4.0,4,2024-05-26 10:00:00,2024-05-25 20:03:09,0,0,Others,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Solved,fapl.930361,2024-05-26 19:30:22,Solved,Solved,23.453611111111112
IN24052012324084599791,ACL4QORJ48FRNP0MSXYFM3MS7TSLU0I5,techmch.2185591,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Waiting for Internal Updates,2024-05-20 12:32:40,,,2024-05-20 12:32:46,,,,,,,cx,Outbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-20 12:32:46,5,5,3X4,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fapl.864609,2024-05-26 10:33:57,Open,ReOpenByL2,191.35141703333335
IN24052311540771547147,ACC543669393EFD45619C6BCD8A81F50B26V,techmk.2214375,OD430559976421700300,4.305599764217003e+17,Mobile Recharge & Bill Payments,Mobile Recharge & Bill Payment Queries,Mobile Recharge Escalation Issue,Mobile Recharge & Bill Payments->Mobile Recharge & Bill Payment Queries->Mobile Recharge Escalation Issue,Waiting for Internal Updates,2024-05-23 11:54:07,,,2024-05-23 11:54:09,,,,,,,cx,,Fintech_Queue,,,1CR,Others,VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-23 11:54:09,2,2,1X2,Recharge Related Issues,Fintech / Payments,Tibin,Yes,,Solved,fk_crm_matrix,2024-05-27 20:00:10,Solved,Solved,104.10083333333333
IN24051612581454439638,ACCF325B3224EFE424CB5FF0DF71B29849BU,tp.5478855,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Waiting for Internal Updates,2024-05-16 12:58:14,2024-05-16 13:02:32,2024-05-22 11:47:28,2024-05-22 11:55:08,,,,,,,cx,Inbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,2.0,2,2024-05-26 10:00:00,2024-05-22 11:55:08,3,3,1X2,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,self_serve,2024-05-25 18:24:02,Open,ReOpen,143.97697258888888
IN24051622491826605351,ACC0C3AFBC910A748EFA48C840DC43943C6O,starkol.80554861,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Waiting for Internal Updates,2024-05-16 22:49:18,2024-05-16 22:49:21,2024-05-16 22:49:21,2024-05-19 16:08:35,,,,,,,cx,Inbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,3.0,3,2024-05-26 10:00:00,2024-05-19 16:08:35,6,>5,5X5,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fapl.1032109,2024-05-25 17:02:33,Open,ReOpenByL2,211.75280592222222
IN24051508115736461609,ACCC262A86343C54CC386006B7EBDB18B5CQ,techmchflex22.2110051,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Waiting for Internal Updates,2024-05-15 08:11:57,2024-05-15 08:12:59,2024-05-15 18:12:03,2024-05-25 08:59:03,,,,,,,cx,Outbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,3.0,3,2024-05-26 10:00:00,2024-05-25 08:59:03,1,1,3X4,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Waiting for Customer Updates,fapl.960326,2024-05-28 11:08:28,Open,ReOpenByL2,74.91169481111112
IN24052423415613975175,ACC6548799B686A4B4BB484DC4E8044E8CE1,starkol.2024153101,OD331342336661120300,3.313423366611203e+17,Mobile Recharge & Bill Payments,Mobile Recharge & Bill Payment Queries,Mobile Recharge Escalation Issue,Mobile Recharge & Bill Payments->Mobile Recharge & Bill Payment Queries->Mobile Recharge Escalation Issue,Waiting for Internal Updates,2024-05-24 23:41:56,2024-05-24 23:42:36,2024-05-24 23:42:36,2024-05-24 23:41:57,,,,,,,cx,Inbound,Fintech_Queue,,,1CR,Others,Non VIP,,Incident,2.0,2,2024-05-26 10:00:00,2024-05-24 23:41:57,1,1,Others,Recharge Related Issues,Fintech / Payments,Tibin,Yes,,Solved,fk_crm_matrix,2024-05-27 19:30:54,Solved,Solved,67.81611111111111
IN24051715385064629319,ACCDCAF837F406A4031927C0526CDF0ABD22,tph.718716,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Waiting for Internal Updates,2024-05-17 15:38:50,,,2024-05-17 15:39:54,,,,,,,cx,Outbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-17 15:39:54,8,>5,5X5,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fapl.2165705,2024-05-26 16:43:14,Open,ReOpenByL2,260.2486392555556
IN24052415145845781967,ACC122648FDF65A45ACABAF8860364C7B71O,techmch.2301044,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Waiting for Internal Updates,2024-05-24 15:14:58,,,2024-05-24 15:15:03,,,,,,,cx,Inbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,3.0,3,2024-05-26 10:00:00,2024-05-24 15:15:03,1,1,3X4,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fk_crm_matrix,2024-05-26 15:26:37,Open,ReOpen,92.64641703333334
